,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 50s,56,C’Mon Everybody,Eddie Cochran,57,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33,118227,0
All Out 50s,57,I'm Walkin',Fats Domino,43,0.729,0.555,1,-13.056,1,0.0483,0.678,0.184,0.155,0.979,109.005,135093,0
All Out 50s,58,Banana Boat (Day-O),Harry Belafonte,63,0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,0.419,122.545,183133,0
All Out 50s,59,You Make Me Feel So Young - Remastered 1998,Frank Sinatra,63,0.577,0.306,9,-11.559,1,0.0427,0.383,0.0,0.18,0.568,125.166,177400,0
All Out 50s,60,Baby (You've Got What It Takes),Dinah Washington,0,0.69,0.508,8,-9.92,1,0.0469,0.851,0.000185,0.496,0.818,132.892,164400,0
All Out 50s,61,Poor Little Fool - Remastered,Ricky Nelson,55,0.474,0.338,0,-11.528,1,0.0299,0.648,0.0,0.13,0.81,154.596,153933,0
All Out 50s,62,Summertime,Louis Armstrong,0,0.2,0.11,6,-16.646,0,0.0357,0.906,0.000153,0.0959,0.162,171.751,299067,1
All Out 50s,63,It's Only Make Believe - Single Version,Conway Twitty,0,0.542,0.531,11,-6.698,1,0.0384,0.887,0.0011,0.127,0.344,126.018,132107,0
All Out 50s,64,Roll Over Beethoven,Chuck Berry,0,0.713,0.793,3,-10.138,1,0.21,0.81,0.0,0.198,0.804,92.713,144600,0
All Out 50s,65,Reet Petite,Jackie Wilson,59,0.664,0.66,5,-6.526,1,0.13,0.447,0.0,0.298,0.873,84.345,169240,0
All Out 50s,66,Lucille,Little Richard,0,0.682,0.839,6,-9.186,1,0.0466,0.336,0.000571,0.17,0.953,145.051,142400,0
All Out 50s,67,Hound Dog,Elvis Presley,67,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,136027,0
All Out 50s,68,Not Fade Away,Buddy Holly & The Crickets,48,0.799,0.475,9,-13.142,1,0.0413,0.835,0.0,0.275,0.92,95.966,142773,0
All Out 50s,69,Be-Bop-A-Lula,Gene Vincent & His Blue Caps,43,0.607,0.561,9,-10.099,1,0.0425,0.421,0.0,0.298,0.841,127.638,157207,0
All Out 50s,70,Sweet Little Sixteen,Chuck Berry,0,0.549,0.521,0,-10.294,1,0.0438,0.57,0.0,0.0996,0.939,166.072,190400,0
All Out 50s,71,Chantilly Lace,The Big Bopper,55,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,145267,0
All Out 50s,72,Money (That's What I Want),Barrett Strong,39,0.656,0.84,5,-7.349,1,0.0323,0.342,0.0,0.108,0.954,132.335,160267,0
All Out 50s,73,Mannish Boy,Muddy Waters,62,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,1
All Out 50s,74,Buona Sera - Remastered,Louis Prima,51,0.547,0.3,3,-13.973,1,0.107,0.777,0.0,0.0653,0.811,97.793,187200,0
